;x
STUDY_ID;
A1;pmm
A2;pmm
A3;pmm
A4;pmm
A5;pmm
A6;pmm
A7;pmm
A8;pmm
A9_A;pmm
A9_B;pmm
A9_C;pmm
A9_D;pmm
A9_E;pmm
A9_F;pmm
A9_G;pmm
A9_H;pmm
A9_I;pmm
A10_A;pmm
A10_B;pmm
A10_C;pmm
A10_D;pmm
A10_E;pmm
A10_F;pmm
A10_G;pmm
A10_H;pmm
A10_I;pmm
A10_J;pmm
A10_K;pmm
B1_A;pmm
B1_B;pmm
B1_C;pmm
B1_D;pmm
B1_E;pmm
B1_F;pmm
B2_A;pmm
B2_B;pmm
B3_A;pmm
B3_B;pmm
B4_A;pmm
B4_B;pmm
B4_C;pmm
B4_D;pmm
B5;pmm
B6;pmm
B7_A;pmm
B7_B;pmm
B7_C;pmm
B7_D;pmm
B7_E;pmm
B7_F;pmm
B8_A;pmm
B8_B;pmm
B8_C;pmm
B8_D;pmm
B8_E;pmm
B8_F;pmm
B9_A;pmm
B9_B;pmm
B9_C;pmm
B9_D;pmm
B9_E;pmm
B9_F;pmm
B10_A;pmm
B10_B;pmm
B10_C;pmm
B10_D;pmm
B10_E;pmm
B11;pmm
B12;pmm
B13;pmm
B14;pmm
B15_A;pmm
B15_B;pmm
B15_C;pmm
B15_D;pmm
B15_E;pmm
B16A;pmm
B16B;pmm
B16C;pmm
B16D;pmm
B16E;pmm
B16F;pmm
B16G;pmm
B16H;pmm
B17_A;pmm
B17_B;pmm
B17_C;pmm
B17_D;pmm
B17_E;pmm
B17_F;pmm
B17_G;pmm
B17_H;pmm
B17_I;pmm
B17_J;pmm
B17_K;pmm
B18;pmm
D1_A;pmm
D1_B;pmm
D1_C;pmm
D1_D;pmm
D1_E;pmm
D1_F;pmm
D1_G;pmm
D1_H;pmm
D1_I;pmm
D2_A;pmm
D2_B;pmm
D2_C;pmm
D2_D;pmm
D2_E;pmm
D3_A;pmm
D3_B;pmm
D3_C;pmm
D3_D;pmm
D3_E;pmm
D3_F;pmm
D3_G;pmm
D3_H;pmm
D4;pmm
D5;pmm
D6;pmm
E1_A;pmm
E1_B;pmm
E1_C;pmm
E1_D;pmm
E1_E;pmm
E1_F;pmm
E1_G;pmm
E1_H;pmm
E1_I;pmm
E1_J;pmm
E1_K;pmm
E1_L;pmm
E1_M;pmm
E2;pmm
E3;pmm
E4;pmm
E5;pmm
E6;pmm
E7;pmm
E8;pmm
E9;pmm
E10;pmm
E11;pmm
E12A;pmm
E12B;pmm
E12C;pmm
E12D;pmm
E13;pmm
E15;pmm
E16;pmm
E17;pmm
E14_A;pmm
E14_B;pmm
E14_C;pmm
E14_D;pmm
E14_E;pmm
E14_F;pmm
F1;pmm
F2;pmm
F3;pmm
F4;pmm
F5;pmm
F6_A;pmm
F6_B;pmm
F6_C;pmm
F6_D;pmm
F6_E;pmm
F6_F;pmm
F6_G;pmm
F6_H;pmm
F6_I;pmm
G1;pmm
G2;pmm
G3;pmm
G4;pmm
G5;pmm
G6;pmm
G7;pmm
G8;pmm
G9;pmm
G10;pmm
G11;pmm
G12;pmm
G13;pmm
G14;pmm
G15;pmm
SEX;
DRINKCAT;pmm
OCCALC;pmm
USUALBIN;pmm
DRUNKN30;pmm
DR2DRUNK;pmm
DRPROBA;pmm
DRPROBB;pmm
DRPROBC;pmm
DRPROBD;pmm
DRPROBE;pmm
DRPROBF;pmm
DRPROBG;pmm
DRPROBH;pmm
DRPROBI;pmm
DRPROBJ;pmm
DRPROBK;pmm
DRPROBL;pmm
DRDRIVE;
BNGDRIVE;pmm
PASSDRDV;pmm
SECALC_A;pmm
SECALC_B;pmm
SECALC_C;pmm
SECALC_D;pmm
SECALC_E;pmm
SECALC_G;pmm
SECALC_H;pmm
SECALC_I;pmm
DAYE1A;pmm
DAYE1B;pmm
DAYE1C;pmm
DAYE1D;pmm
DAYE1E;pmm
DAYE1F;pmm
DAYE1G;pmm
DAYE1H;pmm
DAYE1I;pmm
DAYE1J;pmm
DAYE1K;pmm
DAYE1L;pmm
DAYE1M;pmm
YEARE1A;pmm
YEARE1B;pmm
YEARE1C;pmm
YEARE1D;pmm
YEARE1E;pmm
YEARE1F;pmm
YEARE1G;pmm
YEARE1H;pmm
YEARE1I;pmm
YEARE1J;pmm
YEARE1K;pmm
YEARE1L;pmm
YEARE1M;pmm
HSUBINGE;pmm
BINGE;pmm
DRIVE;pmm
NUMPROB;pmm
PROBGULP;pmm
ANYDRUG1;pmm
ANYDRUG2;pmm
PERSIST;pmm
PROB5;pmm
E1_M34;
FULLYEAR;
YEAR;
OTH;pmm
NATIVAM;pmm
OTHER;pmm
AA;pmm
ASIAN;pmm
RACE;pmm
CLASS;
HISPANIC;
NEVERMAR;pmm
YOUNGSTU;pmm
WHITE;pmm
CIGYEAR;
CIGUSE;
EVERSMOK;pmm
SMOKERS;pmm
QUITTERS;
UNDERAGE;pmm
FREQBING;pmm
MEMGREEK;
FRESH;pmm
SOPH;pmm
JUNIOR;pmm
SENIOR;pmm
ATHLETE;pmm
CHEWTOB;
PHYSACT;pmm
EVERCHEW;pmm
CHEWQUIT;pmm
DORMS;pmm
OFFCAMP;pmm
FRATHOUS;pmm
OTHRHOUS;pmm
PARDRK;
PARAPRV;pmm
GRADE;
GIVEUP;pmm
NOBINGE;pmm
UPTAKE;pmm
CONTBING;pmm
DD_1;
DD_5;
AGEGROUP;pmm
AGELT21;
AGE2123;pmm
AGEGT23;
SELFRATE;pmm
SELFEVER;
STWGT_93;
VOL30;pmm
MMDD;pmm
SERIAL;
NEWC19_A;
NEWC19_B;
NEWC19_C;
NEWC19_D;
WAVE;pmm
C1_A;pmm
C1_B;pmm
C2;pmm
C3_A;
C3_B;
C3_C;
C3_D;
C4;pmm
C5;pmm
C6;pmm
C7;pmm
C8;pmm
C9;pmm
C10_A;pmm
C10_B;pmm
C10_C;pmm
C10_D;pmm
C10_E;pmm
C10_F;pmm
C10_G;pmm
C10_H;pmm
C10_I;pmm
C10_J;pmm
C10_K;pmm
C11_A;pmm
C11_B;pmm
C11_C;pmm
C11_D;pmm
C11_E;pmm
C12_A;pmm
C12_B;pmm
C12_C;pmm
C13_A;pmm
C13_B;pmm
C13_C;pmm
C13_D;pmm
C14;pmm
C15;pmm
C16_A;pmm
C16_B;pmm
C16_C;pmm
C16_D;pmm
C16_E;pmm
C16_F;pmm
C16_G;pmm
C16_H;pmm
C16_I;pmm
C16_J;pmm
C16_K;pmm
C17_A;pmm
C17_B;pmm
C17_C;pmm
C17_D;pmm
C17_E;pmm
C17_F;pmm
C17_G;pmm
C17_H;pmm
C17_I;pmm
C17_J;pmm
C17_K;pmm
C17_L;pmm
C18_A;pmm
C18_B;pmm
C18_C;pmm
C18_D;pmm
C18_E;pmm
C18_F;pmm
C18_G;pmm
C18_H;pmm
C18_I;pmm
C18_J;pmm
C19_A;pmm
C19_B;pmm
C19_C;pmm
C19_D;pmm
C19_E;pmm
C19_F;pmm
C20;pmm
C21;pmm
C22_A;pmm
C22_B;pmm
C22_C;pmm
C22_D;pmm
C22_E;pmm
C22_F;pmm
C22_G;pmm
C22_H;pmm
C22_I;pmm
C22_J;pmm
C22_K;pmm
C22_L;pmm
C22_M;pmm
C22_N;pmm
